[  00.01639679999789223]  [     config_cpu@cpu.cpuhelpers] debug     Cart is 0x10000 bytes.
[  000.0168985999916913]  [     config_cpu@cpu.cpuhelpers] debug     Loaded to 32774
[  00.08993629999167752]  [      Undefined@Undefined] debug     [find_directory(locale)@helpers] Searching directory C:\Users\Colton Wollinger\Documents\important_projects\PixelPulse-6502\emu\helpers.py
[  00.09018379999906756]  [      Undefined@Undefined] debug     [find_directory(locale)@helpers] Searching directory C:\Users\Colton Wollinger\Documents\important_projects\PixelPulse-6502\emu
[  000.0903424999996787]  [      Undefined@Undefined] debug     [find_directory(locale)@helpers] Searching directory C:\Users\Colton Wollinger\Documents\important_projects\PixelPulse-6502
[  00.09051650000037625]  [      Undefined@Undefined] debug     Found directory C:\Users\Colton Wollinger\Documents\important_projects\PixelPulse-6502
[  00.10944169999856967]  [           None@__main__] debug     PC: 0x8008 | A: 0   | X: 0   | Y: 0   | P: 0b110010   | SP: 255 | P1: 0b0      | I: JMP $800b | C: 2   | PS: 0b0
[  00.10971479999716394]  [           None@__main__] debug     PC: 0x800b | A: 0   | X: 0   | Y: 0   | P: 0b110010   | SP: 255 | P1: 0b0      | I: INY       | C: 5   | PS: 0b0
[  00.11049339998862706]  [           None@__main__] debug     PC: 0x800c | A: 0   | X: 0   | Y: 1   | P: 0b110000   | SP: 255 | P1: 0b0      | I: CPY #$ff  | C: 7   | PS: 0b0
[  000.1111316999886185]  [           None@__main__] debug     PC: 0x800e | A: 0   | X: 0   | Y: 1   | P: 0b110000   | SP: 255 | P1: 0b0      | I: BNE $800b | C: 9   | PS: 0b0
[  00.11127369999303482]  [           None@__main__] debug     PC: 0x800b | A: 0   | X: 0   | Y: 1   | P: 0b110000   | SP: 255 | P1: 0b0      | I: INY       | C: 12  | PS: 0b0
[  00.11140319998958148]  [           None@__main__] debug     PC: 0x800c | A: 0   | X: 0   | Y: 2   | P: 0b110000   | SP: 255 | P1: 0b0      | I: CPY #$ff  | C: 14  | PS: 0b0
[  000.1115257999917958]  [           None@__main__] debug     PC: 0x800e | A: 0   | X: 0   | Y: 2   | P: 0b110000   | SP: 255 | P1: 0b0      | I: BNE $800b | C: 16  | PS: 0b0
[  000.1116559999936726]  [           None@__main__] debug     PC: 0x800b | A: 0   | X: 0   | Y: 2   | P: 0b110000   | SP: 255 | P1: 0b0      | I: INY       | C: 19  | PS: 0b0
[  00.11179309998988174]  [           None@__main__] debug     PC: 0x800c | A: 0   | X: 0   | Y: 3   | P: 0b110000   | SP: 255 | P1: 0b0      | I: CPY #$ff  | C: 21  | PS: 0b0
[  00.11191049999615643]  [           None@__main__] debug     PC: 0x800e | A: 0   | X: 0   | Y: 3   | P: 0b110000   | SP: 255 | P1: 0b0      | I: BNE $800b | C: 23  | PS: 0b0
[  00.11200769999413751]  [           None@__main__] debug     PC: 0x800b | A: 0   | X: 0   | Y: 3   | P: 0b110000   | SP: 255 | P1: 0b0      | I: INY       | C: 26  | PS: 0b0
[  00.11218589999771211]  [           None@__main__] debug     PC: 0x800c | A: 0   | X: 0   | Y: 4   | P: 0b110000   | SP: 255 | P1: 0b0      | I: CPY #$ff  | C: 28  | PS: 0b0
[  00.11231979999865871]  [           None@__main__] debug     PC: 0x800e | A: 0   | X: 0   | Y: 4   | P: 0b110000   | SP: 255 | P1: 0b0      | I: BNE $800b | C: 30  | PS: 0b0
[  00.11243879998801276]  [           None@__main__] debug     PC: 0x800b | A: 0   | X: 0   | Y: 4   | P: 0b110000   | SP: 255 | P1: 0b0      | I: INY       | C: 33  | PS: 0b0
[  00.11253859999123961]  [           None@__main__] debug     PC: 0x800c | A: 0   | X: 0   | Y: 5   | P: 0b110000   | SP: 255 | P1: 0b0      | I: CPY #$ff  | C: 35  | PS: 0b0
